# timestamp tx ty tz qx qy qz qw
1520530308.199447632 0.841734 -0.219345 1.250000 0.003838 0.009447 -0.023767 0.999666
1520530308.249448776 0.841556 -0.219759 1.250260 0.005294 0.006917 -0.023426 0.999688
1520530308.299450636 0.841304 -0.220138 1.250109 0.007436 0.006949 -0.022313 0.999699
1520530308.349502563 0.841285 -0.220528 1.250016 0.008845 0.005538 -0.020225 0.999741
1520530308.399504662 0.840995 -0.221083 1.249724 0.012246 0.004605 -0.021042 0.999693
1520530308.449504614 0.840463 -0.221838 1.249687 0.013300 0.003039 -0.021328 0.999679
1520530308.499506474 0.839567 -0.223695 1.249920 0.012109 0.001949 -0.025378 0.999603
1520530308.549507618 0.838220 -0.226242 1.249287 0.009783 0.006124 -0.032469 0.999406
1520530308.599509478 0.836776 -0.228973 1.248021 0.005110 0.012266 -0.036995 0.999227
1520530308.649555445 0.836241 -0.230627 1.247331 0.001987 0.012109 -0.036185 0.999270
1520530308.699512482 0.836527 -0.230881 1.247012 0.002843 0.011082 -0.034031 0.999355
1520530308.749558926 0.837063 -0.231178 1.246777 0.006757 0.010112 -0.033458 0.999366
1520530308.799559832 0.837301 -0.231796 1.247507 0.011097 0.005774 -0.034767 0.999317
1520530308.849561930 0.837982 -0.231333 1.248498 0.013951 0.001801 -0.030425 0.999438
1520530308.899563074 0.838875 -0.230447 1.249579 0.016645 -0.002155 -0.027318 0.999486
1520530308.949564934 0.839157 -0.230283 1.250620 0.016080 -0.001625 -0.025629 0.999541
1520530308.999566793 0.839604 -0.230388 1.251590 0.014689 -0.002049 -0.025506 0.999565
1520530309.049567938 0.840243 -0.230512 1.252564 0.014178 -0.003635 -0.026153 0.999551
1520530309.099570036 0.841188 -0.230323 1.253153 0.014319 -0.004498 -0.026837 0.999527
1520530309.149567127 0.842538 -0.229615 1.254288 0.014572 -0.006040 -0.026016 0.999537
1520530309.199582577 0.843963 -0.228688 1.256221 0.013375 -0.008849 -0.025522 0.999546
1520530309.249583244 0.844917 -0.228315 1.257610 0.012490 -0.011188 -0.026365 0.999512
1520530309.299585581 0.846061 -0.227969 1.258491 0.012649 -0.014157 -0.026423 0.999471
1520530309.349586487 0.847051 -0.227479 1.258914 0.014033 -0.015728 -0.024630 0.999474
1520530309.399588585 0.848013 -0.226854 1.258795 0.016300 -0.016933 -0.023240 0.999454
1520530309.449590445 0.849087 -0.226091 1.258124 0.018965 -0.016032 -0.021385 0.999463
1520530309.499591351 0.850314 -0.225184 1.257763 0.020429 -0.014246 -0.019723 0.999495
1520530309.549593687 0.851549 -0.224559 1.257610 0.021728 -0.014226 -0.019423 0.999474
1520530309.599596739 0.852481 -0.224312 1.257793 0.020095 -0.015318 -0.017801 0.999522
1520530309.649599075 0.853849 -0.223907 1.257943 0.020184 -0.016926 -0.018483 0.999482
1520530309.699599981 0.855399 -0.223327 1.258033 0.020809 -0.016049 -0.016625 0.999516
1520530309.749601841 0.856755 -0.222438 1.258491 0.021720 -0.014229 -0.014552 0.999557
1520530309.799602985 0.857692 -0.221521 1.258829 0.023059 -0.013668 -0.013326 0.999552
1520530309.849604845 0.858420 -0.220850 1.259508 0.021737 -0.012620 -0.011944 0.999613
1520530309.899605989 0.858824 -0.220148 1.259990 0.020877 -0.010217 -0.010915 0.999670
1520530309.949607849 0.859008 -0.219579 1.260338 0.019973 -0.008641 -0.009566 0.999717
1520530309.999621868 0.858876 -0.219052 1.260866 0.018427 -0.006459 -0.008898 0.999770
1520530310.049623013 0.858667 -0.218544 1.261281 0.017984 -0.006050 -0.009962 0.999770
1520530310.099624872 0.858198 -0.218521 1.261633 0.015323 -0.004435 -0.009937 0.999823
1520530310.149627209 0.857885 -0.218516 1.261750 0.014043 -0.004320 -0.010239 0.999840
1520530310.199628115 0.857830 -0.218117 1.261789 0.015196 -0.004187 -0.009308 0.999832
1520530310.249728918 0.857883 -0.217480 1.261791 0.017792 -0.005142 -0.009305 0.999785
1520530310.299631119 0.857841 -0.216849 1.261873 0.020306 -0.004845 -0.006401 0.999762
1520530310.349632978 0.857900 -0.216491 1.261800 0.023827 -0.004768 -0.005196 0.999691
1520530310.399624586 0.857907 -0.216428 1.261825 0.025885 -0.004569 -0.004980 0.999642
1520530310.449626684 0.857861 -0.216506 1.261964 0.025541 -0.003575 -0.004826 0.999656
1520530310.499627829 0.857825 -0.216639 1.262180 0.023948 -0.003025 -0.004733 0.999697
1520530310.549629688 0.857791 -0.216831 1.262456 0.022691 -0.002263 -0.005032 0.999727
1520530310.599631548 0.857877 -0.217145 1.262681 0.021854 -0.002289 -0.005443 0.999744
1520530310.649632692 0.857925 -0.217375 1.262578 0.022744 -0.002201 -0.005418 0.999724
1520530310.699634790 0.857893 -0.217508 1.262152 0.024439 -0.001852 -0.004913 0.999688
1520530310.749635696 0.857741 -0.217734 1.261677 0.026216 -0.001256 -0.004474 0.999645
1520530310.799650908 0.857389 -0.217979 1.261319 0.027446 -0.001118 -0.004101 0.999614
1520530310.849652052 0.857025 -0.218108 1.261176 0.028122 -0.002193 -0.004065 0.999594
1520530310.899653912 0.856579 -0.218155 1.261182 0.027476 -0.003718 -0.004522 0.999605
1520530310.949655056 0.855749 -0.218733 1.260935 0.026629 -0.002196 -0.004412 0.999633
