feature,int_disp,subpix_disp,int_depth,subpix_depth,int_error,subpix_error
0,6,5.930679968131906,3.483333333333333,3.5240478515625,1.8374786376953125,0.52135009765625
1,5,4.560475724340917,4.18,4.582855224609375,1.7448272705078125,0.620489501953125
2,5,5.429036196153663,4.18,3.84967041015625,1.628326416015625,0.574835205078125
3,3,3.410681487679037,6.966666666666666,6.1278076171875,1.5863494873046875,0.55955810546875
4,4,4.005657099742061,5.225,5.217620849609375,1.8948211669921875,0.69755859375
5,3,3.4816864174559354,6.966666666666666,6.002838134765625,1.73211669921875,0.607794189453125
6,4,4.076107037425007,5.225,5.12744140625,1.6249847412109375,0.640777587890625
7,4,3.7445866663750538,5.225,5.581390380859375,1.98974609375,0.565802001953125
8,5,4.944202835773484,4.18,4.2271728515625,1.85418701171875,0.6479736328125
9,7,7.297995545657015,2.9857142857142853,2.863800048828125,1.507843017578125,0.656512451171875
10,9,9.474188639570594,2.322222222222222,2.20599365234375,1.7987060546875,0.549139404296875
11,4,4.370293415695634,5.225,4.78228759765625,1.757598876953125,0.579486083984375
12,7,7.174898115263328,2.9857142857142853,2.912933349609375,1.822967529296875,0.643304443359375
13,6,5.929652974994805,3.483333333333333,3.524658203125,1.9857330322265625,0.666900634765625
14,5,5.290632387250281,4.18,3.9503784179687504,1.8524322509765625,0.52509765625
15,4,4.147822979692449,5.225,5.038787841796876,1.7745361328125,0.639971923828125
16,3,3.205616899377928,6.966666666666666,6.519805908203125,1.69842529296875,0.666461181640625
17,4,4.104321561059804,5.225,5.092193603515626,1.5080718994140625,0.574993896484375
18,8,8.203186162949477,2.6125,2.54779052734375,1.780120849609375,0.57403564453125
19,8,7.602193459583065,2.6125,2.74920654296875,1.9018402099609375,0.5144287109375
200,7,6.856671439012424,2.9857142857142853,3.048126220703125,1.8361358642578125,0.619989013671875
201,3,3.2644450905901587,6.966666666666666,6.402313232421875,1.6072845458984375,0.526690673828125
202,4,4.36361041377289,5.225,4.789611816406249,1.993804931640625,0.58629150390625
203,5,5.371550480015059,4.18,3.890869140625,1.530181884765625,0.55711669921875
204,4,3.714124875942969,5.225,5.627166748046875,1.61114501953125,0.570361328125
205,5,5.072746396456454,4.18,4.12005615234375,1.689910888671875,0.657733154296875
206,3,3.1846730466969855,6.966666666666666,6.56268310546875,1.8152313232421875,0.59537353515625
207,4,4.308974681632858,5.225,4.850341796875001,1.811767578125,0.649786376953125
208,3,3.2114041339985744,6.966666666666666,6.508056640625,1.7020721435546875,0.570263671875
209,9,9.293552808348373,2.322222222222222,2.248870849609375,1.718658447265625,0.5908447265625
210,7,7.314754448550616,2.9857142857142853,2.85723876953125,1.827423095703125,0.6843505859375
211,4,3.5132104895965854,5.225,5.948974609375,1.9747161865234375,0.684344482421875
212,3,3.136972095494604,6.966666666666666,6.6624755859375,1.8301849365234375,0.59957275390625
213,4,4.0563102655831695,5.225,5.1524658203125,1.9852294921875,0.51124267578125
214,10,9.75557613139414,2.09,2.142364501953125,1.6586151123046875,0.622039794921875
215,4,3.9798188062598423,5.225,5.251495361328125,1.558837890625,0.6195068359375
216,4,4.240801035351815,5.225,4.928314208984375,1.8572998046875,0.68099365234375
217,3,3.414507580856654,6.966666666666666,6.120941162109375,1.640167236328125,0.520977783203125
218,4,3.6604267328002735,5.225,5.709716796875,1.9611968994140625,0.618072509765625
219,3,3.19693774186471,6.966666666666666,6.537506103515625,1.505828857421875,0.649334716796875
400,5,4.748129454505117,4.18,4.4017333984375,1.64739990234375,0.52943115234375
401,4,3.70738932256423,5.225,5.63739013671875,1.6858978271484375,0.564227294921875
402,4,3.9398663030846937,5.225,5.30474853515625,1.5079803466796875,0.672833251953125
403,3,3.204941830536394,6.966666666666666,6.52117919921875,1.8108978271484375,0.525604248046875
404,4,3.519439234085852,5.225,5.938446044921875,1.599884033203125,0.5562255859375
405,3,3.3674968407491725,6.966666666666666,6.206390380859375,1.9487152099609375,0.64786376953125
406,4,4.155751353188184,5.225,5.0291748046875,1.7015228271484375,0.631463623046875
407,3,3.0843456839052243,6.966666666666666,6.776153564453125,1.646026611328125,0.613934326171875
408,3,3.3426779447581763,6.966666666666666,6.252471923828125,1.8790130615234375,0.605303955078125
409,7,7.1685144866856465,2.9857142857142853,2.91552734375,1.8671722412109375,0.602099609375
410,3,3.062005445741546,6.966666666666666,6.825592041015625,1.689117431640625,0.691888427734375
411,7,6.511787469929923,2.9857142857142853,3.209564208984375,1.948394775390625,0.50301513671875
412,3,3.049597677349257,6.966666666666666,6.853363037109374,1.72308349609375,0.512359619140625
413,5,5.04323544139739,4.18,4.1441650390625,1.554840087890625,0.561572265625
414,8,8.479974244994489,2.6125,2.464630126953125,1.546356201171875,0.527459716796875
415,4,3.8013288114519788,5.225,5.498077392578125,1.5242919921875,0.5572021484375
416,5,5.261569901890735,4.18,3.972198486328125,1.8974151611328125,0.501312255859375
417,5,5.484469572598922,4.18,3.810760498046875,1.6602935791015625,0.6278564453125
418,7,7.12414517689403,2.9857142857142853,2.933685302734375,1.855010986328125,0.609686279296875
419,5,4.516415626895988,4.18,4.6275634765625,1.7861175537109375,0.50045166015625
600,6,6.403410907798898,3.483333333333333,3.263885498046875,1.67633056640625,0.54295654296875
601,4,4.2817650957198055,5.225,4.88116455078125,1.710479736328125,0.54976806640625
602,7,6.869050460878025,2.9857142857142853,3.042633056640625,1.795684814453125,0.5062744140625
603,3,3.368904892614346,6.966666666666666,6.20379638671875,1.91845703125,0.55859375
604,10,10.161600094961125,2.09,2.0567626953125,1.8914642333984375,0.52906494140625
605,4,3.575667646490646,5.225,5.845062255859375,1.513916015625,0.5016357421875
606,5,4.774445242294741,4.18,4.377471923828125,1.867889404296875,0.64588623046875
607,4,3.887092050446687,5.225,5.37677001953125,1.5349884033203125,0.595367431640625
608,3,3.233236393851267,6.966666666666666,6.464111328125,1.842620849609375,0.625537109375
609,5,4.863274653638307,4.18,4.297515869140625,1.7210540771484375,0.571734619140625
610,4,4.497581285996676,5.225,4.646942138671875,1.98651123046875,0.662017822265625
611,5,5.424735833214517,4.18,3.85272216796875,1.9758758544921875,0.626348876953125
612,4,4.138924008557649,5.225,5.04962158203125,1.76666259765625,0.61778564453125
